dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_rescue_prisoner_succeed_2:lord_pretalk|Always an honour to serve, {s65}.
dlga_start_up_quest_1_next:close_window|Are you all right? Well.... I guess you're alive, at any rate. I'm not sure that we can say the same for the other fellow. That's one less thief to trouble our streets at night, although Heaven knows he won't be the last.... Anyway, maybe you can help me with something. Let's talk more inside. Out here, we don't know who's listening
dlga_start:merchant_quest_2a|Splendid work. You have hired enough men to take on the bandits. Now -- travellers entering {s9} have told us that there is a small group of robbers lurking on the outside of town. I suspect that they are all from the same band, the one that took my brother. Hunt them down and defeat them, and make them disclose the location of their lair!
dlga_start:merchant_quest_3a|So, you've found out where they hid my brother? Splendid work. I flatter myself that I'm a fine judge of character, and you look to be a {man/woman} who can get things done. Now, go out and save his unworthy hide!
dlga_start:merchant_quest_3b|Well... My brother is home safe. I'm not sure what to do with him -- maybe pack him off to a university outside Europe. That way, if he gets knocked on the head in a street brawl, no one can say it's my fault. But that's not your problem. Here's the rest of your reward. It was well-earned.
dlga_merchant_quest_3b:merchant_quest_4a|The money is most welcome, and I am glad to have been of service
dlga_merchant_quest_4a:merchant_quest_4b|Good! Now... Are you interested in making some more?
dlga_merchant_quest_4b:merchant_quest_4b1|Possibly. What do you need?
dlga_merchant_quest_4b1:merchant_quest_4b2|Remember how I told you that the bandits had an ally inside the walls? I think I know who it is -- the captain of the watch, no less. Some months ago this captain, seeing the amount of profit we merchants were making from trade across the frontiers, decided to borrow some money to sponsor a caravan. Unfortunately, like many who are new to commerce, he failed to realize that great profit only comes with great risk. So he sank all his money into the most expensive commodities, and of course his caravan was captured and looted, and he lost everything.
dlga_merchant_quest_4b2:merchant_quest_4b3|As a consequence, it seems, our captain turned to villainy to recoup his fortune. I supposed I'd do the same if, the Heavens forbid, I ever faced indebtedness and ruination. Now, any watch captain worth his salary will have a few thieves and robbers on his payroll, to inform on the rest, but our captain decides to employ these bastards wholesale. He brings them into the town, lets them do as they will, and takes a share of their take. You've heard of poachers turning gamekeepers? Well, in the unfortunate land of Europe, sometimes gamekeepers will turn poacher. Luckily, there's are still a few brave, honest souls in the watch who've told me how he works.
dlga_merchant_quest_4b3:merchant_quest_4b4|Now -- here's my plan. I could bring this to the attention of {s4}, lord of the city, but that would mean an inquiry, my word against the captain's, and witnesses can be bought and evidence destroyed, or maybe the whole thing will be forgotten if the enemy comes across the border again, and all I'll get for my trouble is a knife in the ribs. In time of war, you see, a king's eye wanders far from his domain, and his subjects suffer. So I've got another idea. I've got a small group of townsfolk together, some men in my employ and some others who've lost relatives to these bandits, and we'll storm the captain's home and bring him in chains before {s4}, hopefully with a few captured bandits to explain how things stack up.
dlga_merchant_quest_4b4:merchant_quest_4b5|All I need now is someone to lead my little army into battle -- and I can't think of anyone better than you. So, what do you say?
dlga_merchant_quest_4b5:merchant_quest_4b6|How do I know that you're telling me the truth?
dlga_merchant_quest_4b6:merchant_quest_4b7|Oh, well, I suppose it's possible that I found a dozen bandits who were willing to give their lives to give a passing stranger a false impression of life in old {s4}... Well, I guess you can't really know if my word is good, but I reckon you've learned by now that my money is good, and there's another 100 denars, or maybe a bit more, that's waiting for you if you'll do me this last little favor. So what do you say?
dlga_merchant_quest_4b7:merchant_quest_4b8|All right. I'll lead your men.
dlga_merchant_quest_4b7:merchant_quest_4_decline|I'm sorry. This is too much, too fast. I need time to think.
dlga_merchant_quest_4b8:merchant_quest_4b9|Splendid. It's been a long time since I staked so much on a single throw of the dice, and frankly I find it exhilarating. My men are ready to move on your word. Are you ready?
dlga_merchant_quest_4b9:merchant_quest_4_accept|Yes. Give them the sign.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Not now. I will need to rest before I can fight again.
dlga_merchant_quest_4_accept:close_window|Good! Now -- strike hard, strike fast, and the captain and his henchmen won't know what hit them. May the heavens be with you!
dlga_merchant_quest_4_decline:close_window|Right. I can keep my men standing by. If you let this go too long, then I suppose that I shall have to finish this affair without you, but I would be most pleased if you could be part of it as well. For now, take what time you need.
dlga_merchant_quest_2a:close_window|Very well. I shall hunt for bandits.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Why don't you come with us?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Because I'm paying you to go take care of it. That's the short answer. The long answer is that I've got some leads to follow up here in town, and I have just as much chance of getting knocked on my head as you, if that's what you're asking. But I respect your question. Now, what do you say?
dlga_merchant_quest_2a:close_window.1|I cannot deal with this matter at this time.
dlga_merchant_quest_3a:close_window|Very well. I go now to attack the bandits in their lair, and find your brother.
dlga_merchant_quest_3a:close_window.1|I cannot deal with this matter at this time.
dlga_start:merchant_quest_persuasion|You may do as you wish, {sir/my lady}, but I am disappointed. You would do well to reconsider. I am a rich men, and would show you my gratitude in coin.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_2|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_3|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_4b8|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:close_window|As I say, I have more important business elsewhere.
dlga_merchant_quest_2:merchant_quest_2a|Now -- go find and defeat that group of bandits.
dlga_merchant_quest_3:merchant_quest_3a|Now -- go attack that bandit hideout, get my brother back, and show those brigands what happens to those who threaten my household.
dlga_start:close_window.15|Oh -- thank the heavens... Thank the heavens... Am I safe?
dlga_start:merchant_closing_statement_2|Ah... {playername}. Things didn't go quite so well as I had hoped. {s5} couldn't quite find it in him to overlook my little breach of the peace. Oh, he's grateful enough that I got rid of his crooked captain -- a guard who'll let in bandits will let in an enemy army, if the price is right -- but he can't exactly have me running around here as a lasting reminder of his failure to take care of things himself.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|That hardly seems fair...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Fair? This is Europe, {my boy/my lady}! Kings do what they will, and the rest of us do as they must. He didn't string me up, and instead gave me time to sell my properties -- even put in a word with the other merchants that they best pay me a fair price, too. That's gracious enough, as kings go -- but he's a weak king, as they all are here, and weak kings must always look to their authority first, and justice second. I suppose I'd do the same, in his shoes.
dlga_merchant_closing_statement_4:close_window|Anyway, I wouldn't go rubbing your part in this affair in {s5}'s face -- but he's taken note of you, and decided that you're not worth hanging, and that's something to which I'll raise a glass any day of the week. He might even have work for you, further down the road. Or, you can sell your sword to one of his competitors. Anyway, I hope you've learned a bit about what it will take to stay alive in this troubled land, and I suspect that the money you've earned won't go to waste. Good luck.
dlga_merchant_quests_last_word:close_window|I am preparing to leave town in a short while. It's been an honor to know you. Good luck.
dlga_member_intel_liaison:member_intel_liaison_results|What have you discovered?
dlga_start:member_intel_liaison|Greetings, stranger.
dlga_member_intel_liaison:close_window|It's time to pull you out. Let's leave town separately, but join me soon after
dlga_member_intel_liaison:close_window.1|You're doing good work. Stay here for a little longer
dlga_member_intel_liaison_results:member_intel_liaison|{s11} I notice that you have been keeping some notes about individual lords. I have annotated those with my findings.
dlga_member_fief_grant_1:member_fief_grant_2|Which fief did you have in mind?
dlga_member_fief_grant_2:member_fief_grant_3|{s11}
