str_no_string|NO STRING! 
str_retirement_text_6|你 在 你 的 冒 險 生 涯 中 精 明 地 存 下 錢 來， 而 現 在 你 的 銀 子 和 你 的 聰 明 才 智 讓 你 進 行 了 一 些 極 好 的 投 資 來 鞏 固 你 的 未 來。 收 購 了 {s9}城 的 幾 個 鋪 子 和 倉 庫 之 後， 你 的 機 智 讓 你 成 為 城 裡 最 為 卓 越 的 商 人 之 一， 並 且 你 很 快 成 為 一 個 富 有 的 {人/人}， 你 的 貿 易 帝 國 就 像 你 的 戰 爭 事 跡 一 樣 聞 名。 
str_retirement_text_7|作 為 一 個 有 封 地 的 貴 族， 不 管 封 地 有 多 小， 你 的 未 來 也 差 不 多 可 以 確 定 了。 你 遷 入 了 你 的 領 地 {s7}， 主 宰 著 村 莊 和 農 田， 支 配 著 地 方 法 院 並 且 向 你 的 君 主 履 行 著 你 的 義 務。 有 時 候 你 的 君 主 召 集 你 並 且 在 他 的 戰 役 中 聽 命， 但 是 這 些 日 常 工 作 還 是 簡 單 的， 而 你 再 也 沒 有 真 正 回 到 你 年 輕 時 候 的 冒 險 經 歷。 你 已 經 置 下 大 筆 財 富。 因 為 擁 有 自 己 的 領 主 大 廳 和 領 地， 除 了 你 健 康 的 體 魄 和 自 己 的 領 地 所 能 給 予 給 你 的 以 外， 你 也 沒 有 別 的 奢 求 了。 
str_retirement_text_8|毫 無 疑 問， 你 為 你 自 己 做 的 非 常 好。 你 廣 闊 的 領 地 和 積 累 的 財 富 足 夠 保 證 你 在 余 下 的 日 子 裡 過 著 富 足 而 省 心 的 生 活。 退 休 在 你 的 封 地 {s8}， 你 改 變 你 的 冒 險 生 涯 而 轉 向 政 治， 很 快 你 就 在 你 君 主 的 王 國 裡 面 建 立 了 自 己 相 當 可 觀 的 權 威。 隨 著 自 己 的 興 趣 愛 好 忙 碌， 在 自 己 的 林 地 裡 打 獵， 在 領 主 大 廳 裡 大 擺 宴 席， 以 及 吹 噓 著 上 百 個 耐 聽 的 戰 爭 事 跡， 你 無 憂 無 慮 地 讓 剩 余 的 每 一 年 都 過 的 有 滋 有 味。 
str_retirement_text_9|作 為 你 得 力 和 忠 心 服 務 的 回 報， 你 的 君 主 宣 布 你 被 授 予 一 個 世 襲 的 頭 銜， 加 入 了 士 族 最 顯 赫 的 貴 族 圈。 很 快 你 完 成 了 作 為 {s7}男 爵 的 授 勛 儀 式， 並 且 你 成 為 了 你 君 主 的 近 臣 和 副 手 之 一。 你 蘊 藏 的 聲 望 給 予 了 你 很 多 無 形 的 影 響 力 進 而 成 為 你 公 開 的 政 治 能 力。 現 在 你 在 權 力 游 戲 之 中 消 磨 時 光， 管 理 著 你 巨 大 的 封 地， 並 且 敘 述 著 當 年 的 冒 險 與 光 榮。 
str_retirement_text_10|盡 管 你 出 身 卑 微， 你 的 君 主 卻 對 你 尊 重 有 加， 當 他 賜 予 你 {s9}城 的 {伯 爵/女 伯 爵} 世 襲 頭 銜 的 時 候 在 當 地 士 族 中 引 起 了 軒 然 大 波。 巨 大 的 封 地 和 財 富 現 在 供 你 支 配。 你 很 快 成 為 了 你 的 君 主 最 信 任 的 謀 臣， 幾 乎 和 他 平 起 平 坐 並 且 處 理 他 領 土 的 大 部 分 事 務， 而 且 作 為 卡 拉 迪 亞 大 陸 最 有 權 勢 的 角 色 你 在 你 那 光 彩 奪 目 的 宮 殿 裡 安 放 了 一 個 與 之 相 配 的 王 座。 
str_loot_village|攻 擊 無 辜 的 村 民 
str_steal_from_villagers|偷 竊 貧 窮 村 民 的 東 西 
str_rob_caravan|搶 奪 商 隊 
str_sell_slavery|買 賣 人 口 
str_men_hungry|部 隊 缺 少 食 物 
str_men_unpaid|不 夠 支 付 薪 水 給 部 隊 
str_excessive_casualties|讓 每 場 戰 鬥 在 我 方 來 說 只 是 用 敵 人 鮮 血 洗 澡 
str_surrender|投 降 
str_flee_battle|逃 跑 
str_pay_bandits|繳 過 路 費 
str_fail_quest|一 個 以 榮 譽 擔 保 的 任 務 失 敗 了 
str_squander_money|托 管 的 錢 被 浪 費 了 
str_murder_merchant|我 們 將 自 己 陷 於 冷 血 的 謀 殺 
str_round_up_serfs|代 表 貴 族 圍 捕 奴 隸 
str_battle_fate_1|戰 鬥 最 激 烈 的 時 刻 我 們 分 散 了 
str_battle_fate_2|我 受 了 重 傷， 躺 著 等 死 
str_battle_fate_3|我 被 擊 昏 了 
str_battle_fate_4|我 被 俘 虜 並 懸 出 贖 金 
str_battle_fate_5|我 被 俘 虜， 不 久 找 了 個 機 會 逃 跑 了 
str_npc_morale_report|我 {s6}你 選 擇 的 同 伴， {s7}你 的 領 導 風 格， {s8}現 在 總 體 的 情 況 
str_happy|喜 歡 
str_content|滿 足 於 
str_concerned|關 心 
str_not_happy|一 點 都 不 喜 歡 
str_miserable|特 別 害 怕 
str_morale_reg1|士 氣： {reg1}
str_bar_enthusiastic|熱 情 
str_bar_content|滿 足 
str_bar_weary|厭 倦 
str_bar_disgruntled|不 滿 
str_bar_miserable|害 怕 
str_here_plus_space|這 裡 
str_npc1_intro|你 好， 願 主 的 恩 典 時 刻 在 你 身 邊。 
str_npc2_intro|Laba Diena！ 或 者 換 種 方 式 說， 陌 生 人 你 好！ 
str_npc3_intro|你 好 啊， 旅 行 者。 我 們 一 起 喝 一 杯 怎 麼 樣？ 
str_npc4_intro|鹹 水、 淚 水、 汗 水 或 者 海 水 這 些 有 鹽 的 東 西 對 於 傷 口 治 療 很 有 幫 助。 
str_npc5_intro|歡 迎 來 到 我 的 酒 館！ 我 是 博 爾 科， 一 名 非 凡 的 斧 戰 士。 
str_npc6_intro|{先 生/女 士}… …
str_npc7_intro|Istvan the Hungarian
str_npc8_intro|Yuriy of Novgorod
str_npc9_intro|你 好， 需 要 雇 佣 弓 箭 手 嗎？ 
str_npc10_intro|Jean the Frenchman
str_npc11_intro|Jon the Norwegian
str_npc12_intro|Uilleam the Scot
str_npc13_intro|Aedh the Irishman
str_npc14_intro|Karl the Swede
str_npc15_intro|Ivan of Galicia
str_npc16_intro|你 好 啊， 同 路 的 朋 友， 我 想 你 可 以 幫 我 個 忙。 
str_npc17_intro|Jaume of Aragon{***}
str_npc18_intro|Fernando the Castillan{***}
str_npc20_intro|Isma'il the Andalusian{***}
str_npc22_intro|Alexios the Greek{***}
str_npc23_intro|Hugues the Crusader{***}
str_npc24_intro|Dego the Sicilian{***}
str_npc25_intro|你 好 啊， 旅 行 者。 我 是 巴 拉 班。 毫 無 疑 問， 接 下 來 你 聽 說 過 我。 
str_npc26_intro|你 好， 同 路 的 朋 友。 
str_npc27_intro|你 好 嗎？ 
str_npc28_intro|Gamal the Arab{***}
str_npc29_intro|Dragoslav the Serbian{***}
str_npc30_intro|Kyril the Bulgarian{***}
str_npc31_intro|Ali the Berber{***}
str_npc1_intro_response_1|我 的 朋 友， 你 選 擇 打 招 呼 的 方 式 很 有 意 思。 
str_npc2_intro_response_1|你 好。 
str_npc3_intro_response_1|當 然 可 以， 但 我 想 冒 昧 的 問 下 我 將 和 誰 享 受 這 喝 酒 的 樂 趣 呢？ 
str_npc4_intro_response_1|哦？ 這 對 我 來 說 太 陌 生 了 吧？ {***}
str_npc5_intro_response_1|你 的 酒 館？ 那 吧 台 後 面 那 家 伙 是 誰？ 
str_npc6_intro_response_1|俄， 男 孩， 有 什 麼 事 兒 麼？
str_npc7_intro_response_1|Istvan the Hungarian - response 1
str_npc8_intro_response_1|Yuriy of Novgorod - response 1
str_npc9_intro_response_1|如 果 你 是 優 秀 的 戰 士 我 一 定 會 雇 佣。 你 是 誰？ 
str_npc10_intro_response_1|Jean the Frenchman - response 1
str_npc11_intro_response_1|Jon the Norwegian - response 1
str_npc12_intro_response_1|Uilleam the Scot - response 1
str_npc13_intro_response_1|Aedh the Irishman - response 1
str_npc14_intro_response_1|Karl the Swede - response 1
str_npc15_intro_response_1|Ivan of Galicia - response 1
str_npc16_intro_response_1|怎 麼 啦？ 
str_npc17_intro_response_1|Jaume of Aragon - response 2{***}
str_npc18_intro_response_1|Fernando the Castillan - response 2{***}
str_npc20_intro_response_1|Isma'il the Andalusian - response 2{***}
str_npc22_intro_response_1|Alexios the Greek - response 2{***}
str_npc23_intro_response_1|Hugues the Crusader - response 2{***}
str_npc24_intro_response_1|Dego the Sicilian - response 2{***}
str_npc25_intro_response_1|為 什 麼 不 呢？ 
str_npc26_intro_response_1|今 天 對 你 來 說 也 是 個 好 日 子。 
str_npc27_intro_response_1|我 很 好， 感 謝 你 的 問 候。 
str_npc28_intro_response_1|Gamal the Arab - response 2{***}
str_npc29_intro_response_1|Dragoslav the Serbian - response 2{***}
str_npc30_intro_response_1|Kyril the Bulgarian - response 2{***}
str_npc31_intro_response_1|Ali the Berber - response 2{***}
str_npc1_intro_response_2|啊， 我 是 不 是 走 錯 了 地 方… …
str_npc2_intro_response_2|我 覺 得 我 們 還 是 保 持 點 兒 距 離 比 較 好。 
str_npc3_intro_response_2|我 沒 有 那 個 時 間。 
str_npc4_intro_response_2|呃， 對 不 起 朋 友， 我 不 是 個 水 手。 
str_npc5_intro_response_2|啊， 原 諒 我 吧， 瘋 狂 的 家 伙。 
str_npc6_intro_response_2|不 好 意 思， 我 錢 可 沒 多 的 沒 地 兒 花。 
str_npc7_intro_response_2|Istvan the Hungarian - response 2
str_npc8_intro_response_2|Yuriy of Novgorod - response 2
str_npc9_intro_response_2|不， 謝 謝， 我 已 經 有 足 夠 的 弓 箭 手 了。 
str_npc10_intro_response_2|Jean the Frenchman - response 2
str_npc11_intro_response_2|Jon the Norwegian - response 2
str_npc12_intro_response_2|Uilleam the Scot - response 2
str_npc13_intro_response_2|Aedh the Irishman - response 2
str_npc14_intro_response_2|Karl the Swede - response 2
str_npc15_intro_response_2|Ivan of Galicia - response 2
str_npc16_intro_response_2|對 不 起， 我 現 在 已 經 另 有 安 排。 
str_npc17_intro_response_2|Jaume of Aragon - response 2{***}
str_npc18_intro_response_2|Fernando the Castillan - response 2{***}
str_npc20_intro_response_2|Isma'il the Andalusian - response 2{***}
str_npc22_intro_response_2|Alexios the Greek - response 2{***}
str_npc23_intro_response_2|Hugues the Crusader - response 2{***}
str_npc24_intro_response_2|Dego the Sicilian - response 2{***}
str_npc25_intro_response_2|對 不 起， 我 太 忙。 還 是 另 外 找 時 間 來 聽 你 自 我 吹 噓 吧。 
str_npc26_intro_response_2|我 看 上 去 是 那 種 有 時 間 和 無 家 可 歸 的 流 氓 說 話 的 人 嗎？ 
str_npc27_intro_response_2|我 對 你 沒 有 任 何 興 趣。 
str_npc28_intro_response_2|Gamal the Arab - response 2{***}
str_npc29_intro_response_2|Dragoslav the Serbian - response 2{***}
str_npc30_intro_response_2|Kyril the Bulgarian - response 2{***}
str_npc31_intro_response_2|Ali the Berber - response 2{***}
str_npc1_backstory_a|我 希 望 主 多 照 看 照 看 你， 而 不 要 像 現 在 這 樣 對 我 照 看 地 這 麼 多。 賣 了 這 麼 多 年 命， 卻 因 為 一 次 不 走 運 全 部 白 費。 我 還 真 不 如 我 那 些 沒 有 榮 譽 的 家 伙。 
str_npc2_backstory_a|您 所 能 聽 到 的 最 悲 慘 的 災 禍 與 不 幸 將 我 帶 到 了 這 裡。 
str_npc3_backstory_a|我 是 合 丹， AzabeiI之 子， Badzan之 孫。 如 果 你 不 是 一 個 野 蠻 人， 你 能 從 我 的 血 統 看 出 我 是 一 個 草 原 武 士， 來 自 Shamir部 落， Dulam氏 族， Ubayn 家 族。 你 或 許 還 能 猜 一 猜 我 為 什 麼 離 家 這 麼 遠。 
str_npc4_backstory_a|大 人， 我 有 一 個 很 有 意 思 的 故 事 告 訴 你， 如 果 你 有 時 間 聽 的 話。 我 那 時 正 在 船 上 尋 找 我 們 族 人 傳 說 中 的 神 奇 土 地：Vineland。 對， 就 是 Vineland。 
str_npc5_backstory_a|我 可 能 撒 了 一 小 點 謊。 可 我 畢 竟 也 還 是 使 用 斧 頭 和 盾 牌 的 高 手， 這 是 我 祖 先 最 優 秀 的 傳 統。 我 在 找 能 雇 佣 我 的 人。 
str_npc6_backstory_a|先 生， 您 能 幫 幫 我 嗎？ 我 的 父 親 是 一 個 位 建 築 工 程 師。 他 在 阿 爾 卑 斯 山 的 一 座 城 堡 工 作 時， 城 堡 倒 塌 了， 許 多 建 築 工， 包 括 我 的 父 親 都 被 困 在 了 瓦 礫 之 中。 
str_npc7_backstory_a|Istvan the Hungarian - backstory a
str_npc8_backstory_a|Yuriy of Novgorod - backstory a
str_npc9_backstory_a|It's a tragic tale, sir.
str_npc10_backstory_a|Jean the Frenchman - backstory a
str_npc11_backstory_a|Jon the Norwegian - backstory a
str_npc12_backstory_a|Uilleam the Scot - backstory a
str_npc13_backstory_a|Aedh the Irishman - backstory a
str_npc14_backstory_a|Karl the Swede - backstory a
str_npc15_backstory_a|Ivan of Galicia - backstory a
str_npc16_backstory_a|我 要 酒… … 或 者 買 酒 的 錢 也 行， 要 買 很 多… … 噢， 不， 這 些 酒 不 全 都 給 我 自 己 的， 我 只 是 買 醉， 我 願 意 請 這 間 屋 子 裡 的 每 個 人 喝 一 杯。 
str_npc17_backstory_a|Jaume of Aragon - backstory a{***}
str_npc18_backstory_a|Fernando the Castillan - backstory a{***}
str_npc20_backstory_a|Isma'il the Andalusian - backstory a{***}
str_npc22_backstory_a|Alexios the Greek - backstory a{***}
str_npc23_backstory_a|Hugues the Crusader - backstory a{***}
str_npc24_backstory_a|Dego the Sicilian - backstory a{***}
str_npc25_backstory_a|你 沒 有？ 那 你 可 能 聽 說 過 我 的 駿 馬？ 它 奔 過 沙 漠 時 就 像 一 道 月 光。 或 者 我 的 寶 劍？ 它 是 這 片 大 陸 最 高 貴 王 子 們 血 的 行 家。 
str_npc26_backstory_a|你 可 能 因 為 我 的 外 表 而 對 我 不 太 尊 重， 但 這 不 是 我 自 己 的 錯。 
str_npc27_backstory_a|The inevitable price of my chosen career path has led me this way....I am Taraqai, son of Azabei, grandson of Badzan. Were you not a barbarian, you would likely know from my lineage that I am a Steppe warrior, of the tribe of Shamir, of the clan of Dulam, of the family of Ubayn, and you might be able to guess why I am so far from home.{***}
str_npc28_backstory_a|Gamal the Arab - backstory a{***}
str_npc29_backstory_a|Dragoslav the Serbian - backstory a{***}
str_npc30_backstory_a|Kyril the Bulgarian - backstory a{***}
str_npc31_backstory_a|Ali the Berber - backstory a{***}
str_npc1_backstory_b|我 都 快 升 遷 了， 這 時 我 的 助 手 背 叛 了 我。 僅 僅 是 因 為 我 同 情 一 個 挨 餓 的 異 教 徒 的 村 莊， 讓 他 們 收 割 了 自 己 的 莊 稼。 就 這 麼 一 次 機 會， 他 得 到 我 職 位 的 機 會， 他 就 背 叛 了 我。 他 肯 定 不 喜 歡 當 我 的 下 手。 這 個 叛 徒！ 
str_npc2_backstory_b|你 肯 定 知 道 最 近 教 皇 召 集 了 十 字 軍 進 攻 我 們 波 羅 的 海 國 家， 為 了 幫 助 我 的 同 胞， 我 所 在 的 城 鎮 決 定 派 出 一 支 隊 伍 加 入 國 王 所 召 集 的 軍 隊。 我 在 隊 伍 中 行 軍， 快 樂 的 像 個 雲 雀， 這 時 隊 長 命 令 我 出 列， 去 找 補 給。 所 以 我 就 去 為 我 和 我 的 戰 友 們 找 一 點 吃 的。 
str_npc3_backstory_b|在 所 有 人 的 記 憶 之 前， 我 們 族 人 便 與 Humyan部 落 的 人 有 世 仇。 Humyan部 落 的 許 多 人 都 住 在 旁 邊 的 山 谷。 雙 方 的 很 多 人 都 由 於 仇 殺 喪 生， 其 中 包 括 我 的 兄 弟 們。 為 了 能 給 西 邊 的 戰 爭 保 存 實 力， 可 汗 本 人 命 令 我 們 停 止 爭 鬥。 但 我 知 道 自 己 的 權 利， 我 兄 弟 們 的 血 也 呼 喊 著 要 我 復 仇。 我 在 路 上 伏 擊 並 殺 死 一 個Humyan， 並 在 當 晚 逃 出 了 村 莊， 甚 至 沒 有 來 得 及 和 父 親 告 別。 我 打 算 這 一 兩 年 都 在 這 片 土 地 上 等 待 時 機， 等 到 可 汗 的 人 都 忘 記 了 再 回 家。 但 是Humyan人， 他 們 當 然 不 會 忘。 但 這 就 是 榮 譽 的 代 價。 
str_npc4_backstory_b|作 為 一 個 丹 麥 人， 我 和 我 的 祖 先 們 一 樣， 非 常 期 待 冒 險 以 及 隨 之 而 來 的 動 蕩 不 安。 可 是 我 們 還 沒 離 開 港 口 多 遠 麻 煩 就 來 了， 大 概 兩 天 前， 我 們 遇 上 了 風 暴！ 我 理 所 當 然 的 抱 怨 船 長， 在 起 航 前 沒 有 獻 祭， 這 是 對 上 古 之 神 們 的 不 尊 重， old land means old gods! 
str_npc5_backstory_b|我 是 一 個 天 生 的 戰 士， 出 生 前 就 注 定 要 成 為 偉 大 的 人。 勇 敢 戰 士 的 傳 統 締 造 了 我 偉 大 的 祖 國， 波 蘭。 而 我， 也 一 樣， 會 用 畢 生 時 間 成 為 戰 場 上 的 大 師。 
str_npc6_backstory_b|我 竭 盡 所 能 地 救 助 生 命， 幫 助 本 地 領 主 雇 佣 的 醫 師。 我 用 父 親 教 我 的 工 程 知 識 解 救 被 困 的 人。 但 我 還 是 沒 能 從 倒 塌 的 避 難 所 裡 救 出 我 的 父 親。 之 後 數 周， 我 在 大 腦 一 片 空 白 的 狀 態 下 幫 助 當 地 醫 師 照 顧 那 些 被 救 出 的 人。 
str_npc7_backstory_b|Istvan the Hungarian - backstory b
str_npc8_backstory_b|Yuriy of Novgorod - backstory b
str_npc9_backstory_b|前 陣 子， 我 的 村 莊 被 土 匪 襲 擊。 我 組 織 了 一 支 隊 伍 去 襲 擊 他 們 的 營 地， 但 他 們 把 我 們 徹 底 打 敗 了。 我 們 絕 大 多 數 人 都 是 農 民， 沒 有 戰 鬥 的 經 驗， 沒 有 維 持 陣 型 的 組 織 和 紀 律。 土 匪 利 用 這 點 打 垮 了 我 們。 
str_npc10_backstory_b|Jean the Frenchman - backstory b
str_npc11_backstory_b|Jon the Norwegian - backstory b
str_npc12_backstory_b|Uilleam the Scot - backstory b
str_npc13_backstory_b|Aedh the Irishman - backstory b
str_npc14_backstory_b|Karl the Swede - backstory b
str_npc15_backstory_b|Ivan of Galicia - backstory b
str_npc16_backstory_b|我 一 直 受 到 僧 侶 和 學 者 的 訓 練。 然 而， 不 久 以 前， 我 因 為 一 些 讓 人 無 法 成 為 神 職 人 員 的 不 道 德 行 為 被 驅 逐 出 了 修 道 院。 那 群 偽 君 子！ 他 們 會 因 為 我 知 道 女 人 和 喝 酒 而 開 除 我？ 那 群 豬！ 那 只 是 一 個 趕 走 我 的 借 口。 讓 他 們 所 謂 的 規 則 與 秩 序 下 地 獄 去 吧！ 我 早 就 受 夠 了！ 
str_npc17_backstory_b|Jaume of Aragon - backstory b{***}
str_npc18_backstory_b|Fernando the Castillan - backstory b{***}
str_npc20_backstory_b|Isma'il the Andalusian - backstory b{***}
str_npc22_backstory_b|Alexios the Greek - backstory b{***}
str_npc23_backstory_b|Hugues the Crusader - backstory b{***}
str_npc24_backstory_b|Dego the Sicilian - backstory b{***}
str_npc25_backstory_b|我 是 一 個 專 業 的 武 士， 或 許 你 從 詩 中 聽 到 過 我 那 讓 女 士 們 暈 倒 的 威 名， 又 或 許 你 聽 說 過 我 在 床 笫 之 上 的 厲 害， 我 得 承 認 我 在 這 方 面 也 達 到 了 相 當 的 技 巧。 我 承 認 我 對 基 督 徒 國 家 有 著 一 定 的 感 情。 這 些 年 來， 我 去 過 很 多 基 督 教 國 家 的 城 市、 村 莊， 並 不 斷 磨 練 我 的 能 力。 
str_npc26_backstory_b|作 為 一 個 富 有 貴 族 家 庭 的 次 子， 我 很 難 有 機 會 得 到 我 父 親 的 遺 產。 然 而 我 作 為 最 小 的 兒 子， 我 一 直 是 父 親 最 喜 歡 的 孩 子， 這 也 是 我 獲 得 父 親 一 部 分 遺 產 的 唯 一 辦 法， 我 做 所 有 事 都 盡 最 大 的 努 力。 這 個 計 劃 成 功 了， 在 父 親 死前 兩 月， 我 也 被 寫 進 了 遺 囑。 
str_npc27_backstory_b|After helping my brothers capture what was a small town from the Latin Empire, I decided in my youthful folly that I had been denied my fair share of the earnings from this conquest, so as any 15 year old would do I started to threaten to leave unless I was given a fair share! Ah the stupidity of youth. So the tribe chief did the sensible thing and threw me out.{***}
